aX,aY,aZ,gX,gY,gZ
0.0236,0.0057,-1.0046,0.1831,-0.5493,0.0000
0.0238,0.0066,-1.0049,0.0000,-0.6714,0.0610
0.0229,0.0059,-1.0042,0.1831,-0.6714,0.0610
0.0215,0.0055,-1.0056,0.3052,-0.6104,0.0000
0.0201,0.0051,-1.0063,0.5493,-0.4272,0.0000
0.0209,0.0037,-1.0051,-0.0610,-0.6104,0.0610
0.0211,0.0037,-1.0062,0.0000,-0.6104,0.0610
0.0212,0.0048,-1.0060,0.1221,-0.6104,0.0000
0.0217,0.0059,-1.0050,0.3662,-0.4883,0.0000
0.0216,0.0059,-1.0054,0.1831,-0.5493,0.0610
0.0220,0.0059,-1.0055,0.2441,-0.5493,0.0610
0.0212,0.0056,-1.0049,0.3662,-0.4883,0.0000
0.0204,0.0060,-1.0046,0.3662,-0.4883,0.0610
0.0203,0.0061,-1.0042,0.3662,-0.4883,0.0610
0.0214,0.0051,-1.0061,0.3662,-0.4883,0.0610
0.0209,0.0048,-1.0066,0.3662,-0.4272,0.0610
0.0194,0.0043,-1.0051,0.3052,-0.3662,0.0610
0.0214,0.0045,-1.0060,0.2441,-0.4272,0.0610
0.0223,0.0045,-1.0057,0.1831,-0.4272,0.0610
0.0219,0.0054,-1.0052,0.1831,-0.3662,0.0610
0.0222,0.0059,-1.0046,0.3662,-0.3662,0.0610
0.0219,0.0066,-1.0034,0.4272,-0.3662,0.0000
0.0225,0.0063,-1.0049,0.4883,-0.3662,0.0000
0.0222,0.0057,-1.0050,0.4883,-0.3052,0.0610
0.0204,0.0038,-1.0055,0.4883,-0.3662,0.0610
0.0198,0.0034,-1.0057,0.3052,-0.3662,0.0610
0.0166,0.0020,-1.0055,0.1831,-0.3662,0.0610
0.0132,0.0016,-1.0065,0.1221,-0.3052,0.1221
0.0220,0.0056,-1.0093,0.1221,-0.2441,0.0610
0.0278,0.0090,-1.0043,0.3052,-0.3052,0.0000
0.0306,0.0117,-1.0011,0.3662,-0.3662,0.0610
0.0309,0.0082,-1.0018,0.3662,-0.4883,0.0610
0.0294,0.0050,-1.0054,0.3052,-0.6104,0.0610
0.0251,0.0026,-1.0065,0.1831,-0.6104,0.0000
0.0190,0.0015,-1.0045,0.0000,-0.6104,0.0000
0.0121,0.0027,-1.0071,-0.3662,-0.5493,0.0610
